Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Brian Ebersole,Dennis Hallman,Welterweight,Brian Ebersole,Dennis Hallman,KO/TKO,Elbows,1,268,UFC 133: Evans vs Ortiz 2,2011-08-06
Constantinos Philippou,Jorge Rivera,Middleweight,Constantinos Philippou,Jorge Rivera,S-DEC,,3,300,UFC 133: Evans vs Ortiz 2,2011-08-06
Rory MacDonald,Mike Pyle,Welterweight,Rory MacDonald,Mike Pyle,KO/TKO,Punches,1,234,UFC 133: Evans vs Ortiz 2,2011-08-06
Alexander Gustafsson,Matt Hamill,Light Heavyweight,Alexander Gustafsson,Matt Hamill,KO/TKO,Punches,2,214,UFC 133: Evans vs Ortiz 2,2011-08-06
Chad Mendes,Rani Yahya,Featherweight,Chad Mendes,Rani Yahya,U-DEC,,3,300,UFC 133: Evans vs Ortiz 2,2011-08-06
Ivan Menjivar,Nick Pace,Bantamweight,Ivan Menjivar,Nick Pace,U-DEC,,3,300,UFC 133: Evans vs Ortiz 2,2011-08-06
Johny Hendricks,Mike Pierce,Welterweight,Johny Hendricks,Mike Pierce,S-DEC,,3,300,UFC 133: Evans vs Ortiz 2,2011-08-06
Mike Brown,Nam Phan,Featherweight,Mike Brown,Nam Phan,U-DEC,,3,300,UFC 133: Evans vs Ortiz 2,2011-08-06
Rafael Natal,Paul Bradley,Middleweight,Rafael Natal,Paul Bradley,U-DEC,,3,300,UFC 133: Evans vs Ortiz 2,2011-08-06
Dominick Cruz,Urijah Faber,Bantamweight,Dominick Cruz,Urijah Faber,U-DEC,,5,300,UFC 132: Cruz vs Faber,2011-07-02
Chris Leben,Wanderlei Silva,Middleweight,Chris Leben,Wanderlei Silva,KO/TKO,Punches,1,27,UFC 132: Cruz vs Faber,2011-07-02
Dennis Siver,Matt Wiman,Lightweight,Dennis Siver,Matt Wiman,U-DEC,,3,300,UFC 132: Cruz vs Faber,2011-07-02
Tito Ortiz,Ryan Bader,Light Heavyweight,Tito Ortiz,Ryan Bader,SUB,Guillotine Choke,1,116,UFC 132: Cruz vs Faber,2011-07-02
Carlos Condit,Dong Hyun Kim,Welterweight,Carlos Condit,Dong Hyun Kim,KO/TKO,Flying Knee,1,178,UFC 132: Cruz vs Faber,2011-07-02
Melvin Guillard,Shane Roller,Lightweight,Melvin Guillard,Shane Roller,KO/TKO,Punch,1,132,UFC 132: Cruz vs Faber,2011-07-02
Rafael Dos Anjos,George Sotiropoulos,Lightweight,Rafael Dos Anjos,George Sotiropoulos,KO/TKO,Punch,1,59,UFC 132: Cruz vs Faber,2011-07-02
Brian Bowles,Takeya Mizugaki,Bantamweight,Brian Bowles,Takeya Mizugaki,U-DEC,,3,300,UFC 132: Cruz vs Faber,2011-07-02
Aaron Simpson,Brad Tavares,Middleweight,Aaron Simpson,Brad Tavares,U-DEC,,3,300,UFC 132: Cruz vs Faber,2011-07-02
Anthony Njokuani,Andre Winner,Lightweight,Anthony Njokuani,Andre Winner,U-DEC,,3,300,UFC 132: Cruz vs Faber,2011-07-02
Jeff Hougland,Donny Walker,Bantamweight,Jeff Hougland,Donny Walker,U-DEC,,3,300,UFC 132: Cruz vs Faber,2011-07-02
Cheick Kongo,Pat Barry,Heavyweight,Cheick Kongo,Pat Barry,KO/TKO,Punch,1,159,UFC Live: Kongo vs Barry,2011-06-26
Charlie Brenneman,Rick Story,Welterweight,Charlie Brenneman,Rick Story,U-DEC,,3,300,UFC Live: Kongo vs Barry,2011-06-26
Matt Brown,John Howard,Welterweight,Matt Brown,John Howard,U-DEC,,3,300,UFC Live: Kongo vs Barry,2011-06-26
Matt Mitrione,Christian Morecraft,Heavyweight,Matt Mitrione,Christian Morecraft,KO/TKO,Punches,2,268,UFC Live: Kongo vs Barry,2011-06-26
Tyson Griffin,Manvel Gamburyan,Featherweight,Tyson Griffin,Manvel Gamburyan,U-DEC,,3,300,UFC Live: Kongo vs Barry,2011-06-26
Javier Vazquez,Joe Stevenson,Featherweight,Javier Vazquez,Joe Stevenson,U-DEC,,3,300,UFC Live: Kongo vs Barry,2011-06-26
Joe Lauzon,Curt Warburton,Lightweight,Joe Lauzon,Curt Warburton,SUB,Kimura,1,118,UFC Live: Kongo vs Barry,2011-06-26
Rich Attonito,Daniel Roberts,Welterweight,Rich Attonito,Daniel Roberts,U-DEC,,3,300,UFC Live: Kongo vs Barry,2011-06-26
Nik Lentz,Charles Oliveira,Lightweight,NO CONTEST,NO CONTEST,Overturned,,2,108,UFC Live: Kongo vs Barry,2011-06-26
Ricardo Lamas,Matt Grice,Featherweight,Ricardo Lamas,Matt Grice,KO/TKO,Punches,1,281,UFC Live: Kongo vs Barry,2011-06-26
Michael Johnson,Edward Faaloloto,Lightweight,Michael Johnson,Edward Faaloloto,KO/TKO,Punches,1,282,UFC Live: Kongo vs Barry,2011-06-26
Junior Dos Santos,Shane Carwin,Heavyweight,Junior Dos Santos,Shane Carwin,U-DEC,,3,300,UFC 131: Dos Santos vs Carwin,2011-06-11
Kenny Florian,Diego Nunes,Featherweight,Kenny Florian,Diego Nunes,U-DEC,,3,300,UFC 131: Dos Santos vs Carwin,2011-06-11
Mark Munoz,Demian Maia,Middleweight,Mark Munoz,Demian Maia,U-DEC,,3,300,UFC 131: Dos Santos vs Carwin,2011-06-11
Dave Herman,Jon Olav Einemo,Heavyweight,Dave Herman,Jon Olav Einemo,KO/TKO,Punches,2,199,UFC 131: Dos Santos vs Carwin,2011-06-11
Donald Cerrone,Vagner Rocha,Lightweight,Donald Cerrone,Vagner Rocha,U-DEC,,3,300,UFC 131: Dos Santos vs Carwin,2011-06-11
Sam Stout,Yves Edwards,Lightweight,Sam Stout,Yves Edwards,KO/TKO,Punch,1,232,UFC 131: Dos Santos vs Carwin,2011-06-11
Chris Weidman,Jesse Bongfeldt,Middleweight,Chris Weidman,Jesse Bongfeldt,SUB,Guillotine Choke,1,294,UFC 131: Dos Santos vs Carwin,2011-06-11
Krzysztof Soszynski,Mike Massenzio,Light Heavyweight,Krzysztof Soszynski,Mike Massenzio,U-DEC,,3,300,UFC 131: Dos Santos vs Carwin,2011-06-11
Nick Ring,James Head,Middleweight,Nick Ring,James Head,SUB,Rear Naked Choke,3,213,UFC 131: Dos Santos vs Carwin,2011-06-11
Dustin Poirier,Jason Young,Featherweight,Dustin Poirier,Jason Young,U-DEC,,3,300,UFC 131: Dos Santos vs Carwin,2011-06-11
Joey Beltran,Aaron Rosa,Heavyweight,Joey Beltran,Aaron Rosa,KO/TKO,Punches,3,86,UFC 131: Dos Santos vs Carwin,2011-06-11
Darren Elkins,Michihiro Omigawa,Featherweight,Darren Elkins,Michihiro Omigawa,U-DEC,,3,300,UFC 131: Dos Santos vs Carwin,2011-06-11
Tony Ferguson,Ramsey Nijem,Welterweight,Tony Ferguson,Ramsey Nijem,KO/TKO,Punches,1,234,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Clay Guida,Anthony Pettis,Lightweight,Clay Guida,Anthony Pettis,U-DEC,,3,300,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Ed Herman,Tim Credeur,Middleweight,Ed Herman,Tim Credeur,KO/TKO,Punch,1,48,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Kyle Kingsbury,Fabio Maldonado,Light Heavyweight,Kyle Kingsbury,Fabio Maldonado,U-DEC,,3,300,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Chris Cope,Chuck O'Neil,Welterweight,Chris Cope,Chuck O'Neil,U-DEC,,3,300,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Jeremy Stephens,Danny Downes,Lightweight,Jeremy Stephens,Danny Downes,U-DEC,,3,300,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
George Roop,Josh Grispi,Featherweight,George Roop,Josh Grispi,KO/TKO,Punch,3,194,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Shamar Bailey,Ryan McGillivray,Welterweight,Shamar Bailey,Ryan McGillivray,U-DEC,,3,300,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Clay Harvison,Justin Edwards,Welterweight,Clay Harvison,Justin Edwards,S-DEC,,3,300,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Scott Jorgensen,Ken Stone,Bantamweight,Scott Jorgensen,Ken Stone,KO/TKO,Punch,1,241,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Reuben Duran,Francisco Rivera,Bantamweight,Reuben Duran,Francisco Rivera,SUB,Rear Naked Choke,3,117,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
Quinton Jackson,Matt Hamill,Light Heavyweight,Quinton Jackson,Matt Hamill,U-DEC,,3,300,UFC 130: Rampage vs Hamill,2011-05-28
Frank Mir,Roy Nelson,Heavyweight,Frank Mir,Roy Nelson,U-DEC,,3,300,UFC 130: Rampage vs Hamill,2011-05-28
Travis Browne,Stefan Struve,Heavyweight,Travis Browne,Stefan Struve,KO/TKO,Punch,1,251,UFC 130: Rampage vs Hamill,2011-05-28
Rick Story,Thiago Alves,Welterweight,Rick Story,Thiago Alves,U-DEC,,3,300,UFC 130: Rampage vs Hamill,2011-05-28
Brian Stann,Jorge Santiago,Middleweight,Brian Stann,Jorge Santiago,KO/TKO,Punch,2,269,UFC 130: Rampage vs Hamill,2011-05-28
Demetrious Johnson,Miguel Torres,Bantamweight,Demetrious Johnson,Miguel Torres,U-DEC,,3,300,UFC 130: Rampage vs Hamill,2011-05-28
Tim Boetsch,Kendall Grove,Middleweight,Tim Boetsch,Kendall Grove,U-DEC,,3,300,UFC 130: Rampage vs Hamill,2011-05-28
Gleison Tibau,Rafaello Oliveira,Lightweight,Gleison Tibau,Rafaello Oliveira,SUB,Rear Naked Choke,2,208,UFC 130: Rampage vs Hamill,2011-05-28
Michael McDonald,Chris Cariaso,Bantamweight,Michael McDonald,Chris Cariaso,S-DEC,,3,300,UFC 130: Rampage vs Hamill,2011-05-28
Renan Barao,Cole Escovedo,Bantamweight,Renan Barao,Cole Escovedo,U-DEC,,3,300,UFC 130: Rampage vs Hamill,2011-05-28
Georges St-Pierre,Jake Shields,Welterweight,Georges St-Pierre,Jake Shields,U-DEC,,5,300,UFC 129: St-Pierre vs Shields,2011-04-30
Jose Aldo,Mark Hominick,Featherweight,Jose Aldo,Mark Hominick,U-DEC,,5,300,UFC 129: St-Pierre vs Shields,2011-04-30
Lyoto Machida,Randy Couture,Light Heavyweight,Lyoto Machida,Randy Couture,KO/TKO,Kick,2,65,UFC 129: St-Pierre vs Shields,2011-04-30
Vladimir Matyushenko,Jason Brilz,Light Heavyweight,Vladimir Matyushenko,Jason Brilz,KO/TKO,Punch,1,20,UFC 129: St-Pierre vs Shields,2011-04-30
Benson Henderson,Mark Bocek,Lightweight,Benson Henderson,Mark Bocek,U-DEC,,3,300,UFC 129: St-Pierre vs Shields,2011-04-30
Rory MacDonald,Nate Diaz,Welterweight,Rory MacDonald,Nate Diaz,U-DEC,,3,300,UFC 129: St-Pierre vs Shields,2011-04-30
Jake Ellenberger,Sean Pierson,Welterweight,Jake Ellenberger,Sean Pierson,KO/TKO,Punch,1,162,UFC 129: St-Pierre vs Shields,2011-04-30
Claude Patrick,Daniel Roberts,Welterweight,Claude Patrick,Daniel Roberts,U-DEC,,3,300,UFC 129: St-Pierre vs Shields,2011-04-30
Ivan Menjivar,Charlie Valencia,Bantamweight,Ivan Menjivar,Charlie Valencia,KO/TKO,Elbow,1,90,UFC 129: St-Pierre vs Shields,2011-04-30
Jason MacDonald,Ryan Jensen,Middleweight,Jason MacDonald,Ryan Jensen,SUB,Triangle Choke,1,97,UFC 129: St-Pierre vs Shields,2011-04-30
John Makdessi,Kyle Watson,Lightweight,John Makdessi,Kyle Watson,KO/TKO,Spinning Back Fist,3,87,UFC 129: St-Pierre vs Shields,2011-04-30
Pablo Garza,Yves Jabouin,Featherweight,Pablo Garza,Yves Jabouin,SUB,Triangle Choke,1,271,UFC 129: St-Pierre vs Shields,2011-04-30
Phil Davis,Rogerio Nogueira,Light Heavyweight,Phil Davis,Rogerio Nogueira,U-DEC,,3,300,UFC Fight Night: Nogueira vs Davis,2011-03-26
Anthony Johnson,Dan Hardy,Welterweight,Anthony Johnson,Dan Hardy,U-DEC,,3,300,UFC Fight Night: Nogueira vs Davis,2011-03-26
Amir Sadollah,DaMarques Johnson,Welterweight,Amir Sadollah,DaMarques Johnson,KO/TKO,Elbows,2,207,UFC Fight Night: Nogueira vs Davis,2011-03-26
Chan Sung Jung,Leonard Garcia,Featherweight,Chan Sung Jung,Leonard Garcia,SUB,Twister,2,299,UFC Fight Night: Nogueira vs Davis,2011-03-26
Mike Russow,Jon Madsen,Heavyweight,Mike Russow,Jon Madsen,KO/TKO,,2,300,UFC Fight Night: Nogueira vs Davis,2011-03-26
Mackens Semerzier,Alex Caceres,Featherweight,Mackens Semerzier,Alex Caceres,SUB,Rear Naked Choke,1,198,UFC Fight Night: Nogueira vs Davis,2011-03-26
John Hathaway,Kris McCray,Welterweight,John Hathaway,Kris McCray,S-DEC,,3,300,UFC Fight Night: Nogueira vs Davis,2011-03-26
Michael McDonald,Edwin Figueroa,Bantamweight,Michael McDonald,Edwin Figueroa,U-DEC,,3,300,UFC Fight Night: Nogueira vs Davis,2011-03-26
Christian Morecraft,Sean McCorkle,Heavyweight,Christian Morecraft,Sean McCorkle,SUB,Guillotine Choke,2,250,UFC Fight Night: Nogueira vs Davis,2011-03-26
Johny Hendricks,TJ Waldburger,Welterweight,Johny Hendricks,TJ Waldburger,KO/TKO,Punch,1,95,UFC Fight Night: Nogueira vs Davis,2011-03-26
Aaron Simpson,Mario Miranda,Middleweight,Aaron Simpson,Mario Miranda,U-DEC,,3,300,UFC Fight Night: Nogueira vs Davis,2011-03-26
Nik Lentz,Waylon Lowe,Lightweight,Nik Lentz,Waylon Lowe,SUB,Guillotine Choke,3,144,UFC Fight Night: Nogueira vs Davis,2011-03-26
Jon Jones,Mauricio Rua,Light Heavyweight,Jon Jones,Mauricio Rua,KO/TKO,Knee,3,157,UFC 128: Shogun vs Jones,2011-03-19
Urijah Faber,Eddie Wineland,Bantamweight,Urijah Faber,Eddie Wineland,U-DEC,,3,300,UFC 128: Shogun vs Jones,2011-03-19
Jim Miller,Kamal Shalorus,Lightweight,Jim Miller,Kamal Shalorus,KO/TKO,Knee,3,135,UFC 128: Shogun vs Jones,2011-03-19
Nate Marquardt,Dan Miller,Middleweight,Nate Marquardt,Dan Miller,U-DEC,,3,300,UFC 128: Shogun vs Jones,2011-03-19
Brendan Schaub,Mirko Filipovic,Heavyweight,Brendan Schaub,Mirko Filipovic,KO/TKO,Punch,3,224,UFC 128: Shogun vs Jones,2011-03-19
Luiz Cane,Eliot Marshall,Light Heavyweight,Luiz Cane,Eliot Marshall,KO/TKO,Punches,1,135,UFC 128: Shogun vs Jones,2011-03-19
Edson Barboza,Anthony Njokuani,Lightweight,Edson Barboza,Anthony Njokuani,U-DEC,,3,300,UFC 128: Shogun vs Jones,2011-03-19
Mike Pyle,Ricardo Almeida,Welterweight,Mike Pyle,Ricardo Almeida,U-DEC,,3,300,UFC 128: Shogun vs Jones,2011-03-19
Gleison Tibau,Kurt Pellegrino,Lightweight,Gleison Tibau,Kurt Pellegrino,S-DEC,,3,300,UFC 128: Shogun vs Jones,2011-03-19
Joseph Benavidez,Ian Loveland,Bantamweight,Joseph Benavidez,Ian Loveland,U-DEC,,3,300,UFC 128: Shogun vs Jones,2011-03-19
Nick Catone,Constantinos Philippou,Catch Weight,Nick Catone,Constantinos Philippou,U-DEC,,3,300,UFC 128: Shogun vs Jones,2011-03-19
Erik Koch,Raphael Assuncao,Featherweight,Erik Koch,Raphael Assuncao,KO/TKO,Punch,1,152,UFC 128: Shogun vs Jones,2011-03-19
Diego Sanchez,Martin Kampmann,Welterweight,Diego Sanchez,Martin Kampmann,U-DEC,,3,300,UFC Live: Sanchez vs Kampmann,2011-03-03
Mark Munoz,CB Dollaway,Middleweight,Mark Munoz,CB Dollaway,KO/TKO,Punch,1,54,UFC Live: Sanchez vs Kampmann,2011-03-03
Chris Weidman,Alessio Sakara,Middleweight,Chris Weidman,Alessio Sakara,U-DEC,,3,300,UFC Live: Sanchez vs Kampmann,2011-03-03
Brian Bowles,Damacio Page,Bantamweight,Brian Bowles,Damacio Page,SUB,Guillotine Choke,1,210,UFC Live: Sanchez vs Kampmann,2011-03-03
Cyrille Diabate,Steve Cantwell,Light Heavyweight,Cyrille Diabate,Steve Cantwell,U-DEC,,3,300,UFC Live: Sanchez vs Kampmann,2011-03-03
Danny Castillo,Joe Stevenson,Lightweight,Danny Castillo,Joe Stevenson,U-DEC,,3,300,UFC Live: Sanchez vs Kampmann,2011-03-03
Shane Roller,Thiago Tavares,Lightweight,Shane Roller,Thiago Tavares,KO/TKO,Punch,2,88,UFC Live: Sanchez vs Kampmann,2011-03-03
Takeya Mizugaki,Reuben Duran,Bantamweight,Takeya Mizugaki,Reuben Duran,S-DEC,,3,300,UFC Live: Sanchez vs Kampmann,2011-03-03
Dongi Yang,Rob Kimmons,Middleweight,Dongi Yang,Rob Kimmons,KO/TKO,Punches,2,287,UFC Live: Sanchez vs Kampmann,2011-03-03
Rousimar Palhares,David Branch,Middleweight,Rousimar Palhares,David Branch,SUB,Kneebar,2,104,UFC Live: Sanchez vs Kampmann,2011-03-03
Igor Pokrajac,Todd Brown,Light Heavyweight,Igor Pokrajac,Todd Brown,KO/TKO,,1,300,UFC Live: Sanchez vs Kampmann,2011-03-03
BJ Penn,Jon Fitch,Welterweight,DRAW,DRAW,M-DEC,,3,300,UFC 127: Penn vs Fitch,2011-02-26
Michael Bisping,Jorge Rivera,Middleweight,Michael Bisping,Jorge Rivera,KO/TKO,Punches,2,114,UFC 127: Penn vs Fitch,2011-02-26
Dennis Siver,George Sotiropoulos,Lightweight,Dennis Siver,George Sotiropoulos,U-DEC,,3,300,UFC 127: Penn vs Fitch,2011-02-26
Brian Ebersole,Chris Lytle,Welterweight,Brian Ebersole,Chris Lytle,U-DEC,,3,300,UFC 127: Penn vs Fitch,2011-02-26
Kyle Noke,Chris Camozzi,Middleweight,Kyle Noke,Chris Camozzi,SUB,Rear Naked Choke,1,95,UFC 127: Penn vs Fitch,2011-02-26
Ross Pearson,Spencer Fisher,Lightweight,Ross Pearson,Spencer Fisher,U-DEC,,3,300,UFC 127: Penn vs Fitch,2011-02-26
Alexander Gustafsson,James Te Huna,Light Heavyweight,Alexander Gustafsson,James Te Huna,SUB,Rear Naked Choke,1,267,UFC 127: Penn vs Fitch,2011-02-26
Nick Ring,Riki Fukuda,Middleweight,Nick Ring,Riki Fukuda,U-DEC,,3,300,UFC 127: Penn vs Fitch,2011-02-26
Anthony Perosh,Tom Blackledge,Light Heavyweight,Anthony Perosh,Tom Blackledge,SUB,Rear Naked Choke,1,165,UFC 127: Penn vs Fitch,2011-02-26
Zhang Tiequan,Jason Reinhardt,Featherweight,Zhang Tiequan,Jason Reinhardt,SUB,Guillotine Choke,1,48,UFC 127: Penn vs Fitch,2011-02-26
Mark Hunt,Chris Tuchscherer,Heavyweight,Mark Hunt,Chris Tuchscherer,KO/TKO,Punch,2,101,UFC 127: Penn vs Fitch,2011-02-26
Curt Warburton,Maciej Jewtuszko,Lightweight,Curt Warburton,Maciej Jewtuszko,U-DEC,,3,300,UFC 127: Penn vs Fitch,2011-02-26
Anderson Silva,Vitor Belfort,Middleweight,Anderson Silva,Vitor Belfort,KO/TKO,Kick,1,205,UFC 126: Silva vs Belfort,2011-02-05
Forrest Griffin,Rich Franklin,Light Heavyweight,Forrest Griffin,Rich Franklin,U-DEC,,3,300,UFC 126: Silva vs Belfort,2011-02-05
Jon Jones,Ryan Bader,Light Heavyweight,Jon Jones,Ryan Bader,SUB,Guillotine Choke,2,260,UFC 126: Silva vs Belfort,2011-02-05
Jake Ellenberger,Carlos Eduardo Rocha,Welterweight,Jake Ellenberger,Carlos Eduardo Rocha,S-DEC,,3,300,UFC 126: Silva vs Belfort,2011-02-05
Miguel Torres,Antonio Banuelos,Bantamweight,Miguel Torres,Antonio Banuelos,U-DEC,,3,300,UFC 126: Silva vs Belfort,2011-02-05
Donald Cerrone,Paul Kelly,Lightweight,Donald Cerrone,Paul Kelly,SUB,Rear Naked Choke,2,228,UFC 126: Silva vs Belfort,2011-02-05
Chad Mendes,Michihiro Omigawa,Featherweight,Chad Mendes,Michihiro Omigawa,U-DEC,,3,300,UFC 126: Silva vs Belfort,2011-02-05
Demetrious Johnson,Norifumi Yamamoto,Bantamweight,Demetrious Johnson,Norifumi Yamamoto,U-DEC,,3,300,UFC 126: Silva vs Belfort,2011-02-05
Paul Taylor,Gabe Ruediger,Lightweight,Paul Taylor,Gabe Ruediger,KO/TKO,Kick,2,102,UFC 126: Silva vs Belfort,2011-02-05
Kyle Kingsbury,Ricardo Romero,Light Heavyweight,Kyle Kingsbury,Ricardo Romero,KO/TKO,Punch,1,21,UFC 126: Silva vs Belfort,2011-02-05
Mike Pierce,Kenny Robertson,Welterweight,Mike Pierce,Kenny Robertson,KO/TKO,Punches,2,29,UFC 126: Silva vs Belfort,2011-02-05
Melvin Guillard,Evan Dunham,Lightweight,Melvin Guillard,Evan Dunham,KO/TKO,Knees,1,178,UFC Fight Night: Fight for the Troops 2,2011-01-22
Matt Mitrione,Tim Hague,Heavyweight,Matt Mitrione,Tim Hague,KO/TKO,Punch,1,179,UFC Fight Night: Fight for the Troops 2,2011-01-22
Mark Hominick,George Roop,Featherweight,Mark Hominick,George Roop,KO/TKO,Punch,1,88,UFC Fight Night: Fight for the Troops 2,2011-01-22
Pat Barry,Joey Beltran,Heavyweight,Pat Barry,Joey Beltran,U-DEC,,3,300,UFC Fight Night: Fight for the Troops 2,2011-01-22
Matt Wiman,Cole Miller,Lightweight,Matt Wiman,Cole Miller,U-DEC,,3,300,UFC Fight Night: Fight for the Troops 2,2011-01-22
Yves Edwards,Cody McKenzie,Lightweight,Yves Edwards,Cody McKenzie,SUB,Rear Naked Choke,2,273,UFC Fight Night: Fight for the Troops 2,2011-01-22
DaMarques Johnson,Mike Guymon,Welterweight,DaMarques Johnson,Mike Guymon,SUB,Injury,1,202,UFC Fight Night: Fight for the Troops 2,2011-01-22
Rani Yahya,Mike Brown,Featherweight,Rani Yahya,Mike Brown,U-DEC,,3,300,UFC Fight Night: Fight for the Troops 2,2011-01-22
Waylon Lowe,Willamy Freire,Lightweight,Waylon Lowe,Willamy Freire,U-DEC,,3,300,UFC Fight Night: Fight for the Troops 2,2011-01-22
Charlie Brenneman,Amilcar Alves,Welterweight,Charlie Brenneman,Amilcar Alves,U-DEC,,3,300,UFC Fight Night: Fight for the Troops 2,2011-01-22
Chris Cariaso,Will Campuzano,Bantamweight,Chris Cariaso,Will Campuzano,U-DEC,,3,300,UFC Fight Night: Fight for the Troops 2,2011-01-22
Frankie Edgar,Gray Maynard,Lightweight,DRAW,DRAW,S-DEC,,5,300,UFC 125: Resolution,2011-01-01
Brian Stann,Chris Leben,Middleweight,Brian Stann,Chris Leben,KO/TKO,Knee,1,217,UFC 125: Resolution,2011-01-01
Brandon Vera,Thiago Silva,Light Heavyweight,NO CONTEST,NO CONTEST,Overturned,,3,300,UFC 125: Resolution,2011-01-01
Dong Hyun Kim,Nate Diaz,Welterweight,Dong Hyun Kim,Nate Diaz,U-DEC,,3,300,UFC 125: Resolution,2011-01-01
Clay Guida,Takanori Gomi,Lightweight,Clay Guida,Takanori Gomi,SUB,Guillotine Choke,2,267,UFC 125: Resolution,2011-01-01
Jeremy Stephens,Marcus Davis,Lightweight,Jeremy Stephens,Marcus Davis,KO/TKO,Punch,3,153,UFC 125: Resolution,2011-01-01
Dustin Poirier,Josh Grispi,Featherweight,Dustin Poirier,Josh Grispi,U-DEC,,3,300,UFC 125: Resolution,2011-01-01
Brad Tavares,Phil Baroni,Middleweight,Brad Tavares,Phil Baroni,KO/TKO,Punches,1,260,UFC 125: Resolution,2011-01-01
Diego Nunes,Mike Brown,Featherweight,Diego Nunes,Mike Brown,S-DEC,,3,300,UFC 125: Resolution,2011-01-01
Daniel Roberts,Greg Soto,Welterweight,Daniel Roberts,Greg Soto,SUB,Kimura,1,225,UFC 125: Resolution,2011-01-01
Jacob Volkmann,Antonio McKee,Lightweight,Jacob Volkmann,Antonio McKee,S-DEC,,3,300,UFC 125: Resolution,2011-01-01
Georges St-Pierre,Josh Koscheck,Welterweight,Georges St-Pierre,Josh Koscheck,U-DEC,,5,300,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Stefan Struve,Sean McCorkle,Heavyweight,Stefan Struve,Sean McCorkle,KO/TKO,Punches,1,235,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Jim Miller,Charles Oliveira,Lightweight,Jim Miller,Charles Oliveira,SUB,Kneebar,1,119,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Mac Danzig,Joe Stevenson,Lightweight,Mac Danzig,Joe Stevenson,KO/TKO,Punch,1,114,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Thiago Alves,John Howard,Welterweight,Thiago Alves,John Howard,U-DEC,,3,300,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Dan Miller,Joe Doerksen,Middleweight,Dan Miller,Joe Doerksen,S-DEC,,3,300,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Mark Bocek,Dustin Hazelett,Lightweight,Mark Bocek,Dustin Hazelett,SUB,Triangle Choke,1,153,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Jesse Bongfeldt,Rafael Natal,Middleweight,DRAW,DRAW,M-DEC,,3,300,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Sean Pierson,Matthew Riddle,Welterweight,Sean Pierson,Matthew Riddle,U-DEC,,3,300,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Ricardo Almeida,TJ Grant,Welterweight,Ricardo Almeida,TJ Grant,U-DEC,,3,300,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
John Makdessi,Pat Audinwood,Lightweight,John Makdessi,Pat Audinwood,U-DEC,,3,300,UFC 124: St-Pierre vs Koscheck 2,2010-12-11
Jonathan Brookins,Michael Johnson,Lightweight,Jonathan Brookins,Michael Johnson,U-DEC,,3,300,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
Stephan Bonnar,Igor Pokrajac,Light Heavyweight,Stephan Bonnar,Igor Pokrajac,U-DEC,,3,300,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
Demian Maia,Kendall Grove,Middleweight,Demian Maia,Kendall Grove,U-DEC,,3,300,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
Rick Story,Johny Hendricks,Welterweight,Rick Story,Johny Hendricks,U-DEC,,3,300,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
Leonard Garcia,Nam Phan,Featherweight,Leonard Garcia,Nam Phan,S-DEC,,3,300,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
Cody McKenzie,Aaron Wilkinson,Lightweight,Cody McKenzie,Aaron Wilkinson,SUB,Guillotine Choke,1,123,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
Ian Loveland,Tyler Toner,Featherweight,Ian Loveland,Tyler Toner,U-DEC,,3,300,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
Kyle Watson,Sako Chivitchian,Lightweight,Kyle Watson,Sako Chivitchian,U-DEC,,3,300,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
